date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value,run_id,run_type,scope,date_start,date_end
2017-10-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-10-31,GMV,1,0,47,0.0004906414083681,0,5,success,0.0003799310973803,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-10-31,CtR-only,1,216,2,4.896240254068319e-11,0,10,success,0.0001695987241958,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-10-31,MDP,1,250,2,0.4083477203708423,0,8,success,-2.0762444322206366,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-10-31,CtB-only,1,250,2,0.0811757234516728,0,8,success,0.0043689691471708,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-10-31,Main,1,173,2,3.5417471581571174e-10,0,10,success,0.0095511607127376,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-11-30,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-11-30,GMV,1,0,43,0.0004386272659425,0,5,success,0.0003135336301152,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-11-30,CtR-only,1,196,2,3.290703209322109e-11,0,10,success,0.0001677930608623,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-11-30,MDP,1,250,1,0.2803666836152166,0,8,success,-2.030264504465588,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-11-30,CtB-only,1,250,2,0.0540921525173453,0,8,success,0.0021667350484353,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-11-30,Main,1,250,2,1.5006046425783995e-09,0,10,success,0.0074118923622061,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-12-29,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-12-29,GMV,1,0,48,0.000344003837049,0,5,success,0.0002783385354942,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-12-29,CtR-only,1,196,2,3.605552209736214e-11,0,10,success,0.0001692705709177,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-12-29,MDP,1,250,1,0.1915507945934351,0,7,success,-2.070903123289395,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-12-29,CtB-only,1,250,2,0.0400501303829871,0,8,success,0.0012290852675499,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2017-12-29,Main,1,231,2,2.632876519946382e-10,0,10,success,0.0054971308041238,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-01-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-01-31,GMV,1,0,48,0.000330331799407,0,5,success,0.0002730401223314,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-01-31,CtR-only,1,205,2,4.2828729683148925e-11,0,10,success,0.0001801763445044,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-01-31,MDP,1,250,2,0.1466400976347583,0,8,success,-2.0563562002658875,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-01-31,CtB-only,1,250,2,0.0281958799521652,0,8,success,0.0008070793088289,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-01-31,Main,1,250,1,2.6992633135939504e-10,0,10,success,0.0033774312227136,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-02-28,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-02-28,GMV,1,0,50,0.0004836940488195,0,6,success,0.0004174282878808,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-02-28,CtR-only,1,181,2,5.628191080307041e-11,0,10,success,0.0002528964217593,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-02-28,MDP,1,250,1,0.1985838834619506,0,8,success,-2.006251689600388,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-02-28,CtB-only,1,250,2,0.0285929160977446,0,8,success,0.001236204811848,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-02-28,Main,1,250,2,3.3170276246482606e-10,0,10,success,0.0034450428905249,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-03-29,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-03-29,GMV,1,0,54,0.0003852907982979,0,6,success,0.0003875838816358,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-03-29,CtR-only,1,184,2,6.933863563568034e-11,0,10,success,0.0001888989316456,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-03-29,MDP,1,250,2,0.2265939351047783,0,7,success,-2.1065703290067628,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-03-29,CtB-only,1,250,2,0.0246046172758254,0,7,success,0.0010833627112058,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-03-29,Main,1,250,1,6.013204626441511e-10,0,10,success,0.0026294485807691,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-04-30,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-04-30,GMV,1,0,54,0.000369200568082,0,6,success,0.0003693083929764,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-04-30,CtR-only,1,211,2,6.642932748010238e-11,0,10,success,0.0001920865382681,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-04-30,MDP,1,250,1,0.2913336584033216,0,7,success,-2.0950069420361443,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-04-30,CtB-only,1,250,2,0.0307667242711814,0,7,success,0.001435774176287,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-04-30,Main,1,250,2,7.442573898147833e-10,0,10,success,0.0031818544000138,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-05-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-05-31,GMV,1,0,54,0.0003316830713302,0,7,success,0.0003627867093623,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-05-31,CtR-only,1,208,2,7.429248708078864e-11,0,10,success,0.0001938857940395,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-05-31,MDP,1,250,1,0.1476725762421467,0,7,success,-2.092016407592775,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-05-31,CtB-only,1,250,2,0.0172847188095795,0,7,success,0.0006876889631207,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-05-31,Main,1,250,2,1.5401892301889081e-09,0,10,success,0.0032142304713865,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-06-29,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-06-29,GMV,1,0,61,0.0002780985612137,0,6,success,0.0003477990625303,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-06-29,CtR-only,1,172,2,9.496358345209588e-11,0,10,success,0.0001941437732693,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-06-29,MDP,1,250,2,0.0488566247976625,0,9,success,-2.10847041468772,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-06-29,CtB-only,1,250,3,0.008238312729198,0,9,success,0.0009224372593671,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-06-29,Main,1,250,2,8.147290996458211e-09,0,10,success,0.0023702307221401,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-07-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-07-31,GMV,1,0,50,0.000288114927639,0,7,success,0.0003416408361075,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-07-31,CtR-only,1,150,2,1.0880227389760964e-10,0,10,success,0.0001945886352566,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-07-31,MDP,1,250,2,0.0485956882290139,0,9,success,-2.111999825230837,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-07-31,CtB-only,1,250,2,0.0081984503753874,0,9,success,0.0009106448847526,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-07-31,Main,1,250,2,2.6692766494303702e-09,0,10,success,0.002171460881269,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-08-31,EW,1,0,0,0.0,0,10,success,0.0,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-08-31,GMV,1,0,49,0.0002734287870496,0,7,success,0.0003269716616817,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-08-31,CtR-only,1,195,2,1.4120043135514964e-10,0,10,success,0.0002010557422481,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
2018-08-31,MDP,1,200,2,0.0511783190789335,0,9,success,-2.100718337320976,calibration__main__val__20260419__01__d04,minimal_real,,2017-01-01,2020-12-31
