date,strategy,asset,ctr
2017-11-30,CtB-only,SPY,0.004544931414823371
2017-11-30,CtB-only,VEA,0.0018814039361079488
2017-11-30,CtB-only,VWO,0.004683865434877657
2017-11-30,CtB-only,IEF,0.00010046781355807412
2017-11-30,CtB-only,SHY,0.004203160638164129
2017-11-30,CtB-only,TIP,0.006694551392740051
2017-11-30,CtB-only,LQD,0.0008290783641497553
2017-11-30,CtB-only,VNQ,0.0
2017-11-30,CtB-only,GLD,0.0006201588310440209
2017-11-30,CtB-only,DBC,0.0
2017-11-30,Main,SPY,0.003517572343069766
2017-11-30,Main,VEA,0.002445002380872168
2017-11-30,Main,VWO,0.0022912485953900485
2017-11-30,Main,IEF,0.002205417856885639
2017-11-30,Main,SHY,0.0034808437152185393
2017-11-30,Main,TIP,0.0033406447101637917
2017-11-30,Main,LQD,0.0022704709885690093
2017-11-30,Main,VNQ,0.0024050341850027222
2017-11-30,Main,GLD,0.0024993608057013667
2017-11-30,Main,DBC,0.0022506209790519012
2017-12-29,EW,SPY,0.0066994146710253446
2017-12-29,EW,VEA,0.005233087117131236
2017-12-29,EW,VWO,0.0018111963587686645
2017-12-29,EW,IEF,0.002061935232172533
2017-12-29,EW,SHY,0.00041644369815980727
2017-12-29,EW,TIP,0.0029176253149955232
2017-12-29,EW,LQD,0.0018738415979601029
2017-12-29,EW,VNQ,0.005053000716690584
2017-12-29,EW,GLD,0.006161531216300191
2017-12-29,EW,DBC,0.008009604088138505
2017-12-29,GMV,SPY,0.00012181234307448655
2017-12-29,GMV,VEA,0.0
2017-12-29,GMV,VWO,0.00043399539324435473
2017-12-29,GMV,IEF,0.0
2017-12-29,GMV,SHY,0.012880473714029533
2017-12-29,GMV,TIP,0.0016084960216780745
2017-12-29,GMV,LQD,0.001638703444564746
2017-12-29,GMV,VNQ,8.04578717746373e-20
2017-12-29,GMV,GLD,2.134523531615529e-20
2017-12-29,GMV,DBC,0.0
2017-12-29,CtR-only,SPY,0.0026492000199502225
2017-12-29,CtR-only,VEA,0.0026489551614256516
2017-12-29,CtR-only,VWO,0.002648083505331161
2017-12-29,CtR-only,IEF,0.002650162358864976
2017-12-29,CtR-only,SHY,0.0026216814606639435
2017-12-29,CtR-only,TIP,0.0026471736304749
2017-12-29,CtR-only,LQD,0.002649872937287465
2017-12-29,CtR-only,VNQ,0.0026477607584804034
2017-12-29,CtR-only,GLD,0.0026470980920265345
2017-12-29,CtR-only,DBC,0.0026467671969830197
2017-12-29,MDP,SPY,0.00392184445159518
2017-12-29,MDP,VEA,0.001867130676335188
2017-12-29,MDP,VWO,0.0046348710352099596
2017-12-29,MDP,IEF,0.0
2017-12-29,MDP,SHY,0.003679485109248764
2017-12-29,MDP,TIP,0.007189646117018087
2017-12-29,MDP,LQD,0.0006170421379504129
2017-12-29,MDP,VNQ,0.0
2017-12-29,MDP,GLD,0.0006262446574065986
2017-12-29,MDP,DBC,0.0
2017-12-29,CtB-only,SPY,0.003994868377093704
2017-12-29,CtB-only,VEA,0.0017906943862749808
2017-12-29,CtB-only,VWO,0.004704748259636543
2017-12-29,CtB-only,IEF,2.5112842938236738e-05
2017-12-29,CtB-only,SHY,0.003822570223156601
2017-12-29,CtB-only,TIP,0.00663556895738112
2017-12-29,CtB-only,LQD,0.0006343755475249914
2017-12-29,CtB-only,VNQ,0.0
2017-12-29,CtB-only,GLD,0.0008022281901430245
2017-12-29,CtB-only,DBC,0.0
2017-12-29,Main,SPY,0.0030243900277982785
2017-12-29,Main,VEA,0.0023392774131980776
2017-12-29,Main,VWO,0.002247373255400537
2017-12-29,Main,IEF,0.002189454975118847
2017-12-29,Main,SHY,0.0031153479364075523
2017-12-29,Main,TIP,0.003092885801650835
2017-12-29,Main,LQD,0.0022062774963262934
2017-12-29,Main,VNQ,0.0023887282939973158
2017-12-29,Main,GLD,0.002464726444895039
2017-12-29,Main,DBC,0.002295578064119832
2018-01-31,EW,SPY,0.006457411949397435
2018-01-31,EW,VEA,0.005079751419922249
2018-01-31,EW,VWO,0.0015315030044625987
2018-01-31,EW,IEF,0.00179723000438444
2018-01-31,EW,SHY,0.0003678634834562795
2018-01-31,EW,TIP,0.003462280955541403
2018-01-31,EW,LQD,0.0017020789583074652
2018-01-31,EW,VNQ,0.005145710756412353
2018-01-31,EW,GLD,0.006174615890915697
2018-01-31,EW,DBC,0.008524021780910242
2018-01-31,GMV,SPY,0.00015473042301619608
2018-01-31,GMV,VEA,7.532065024317919e-20
2018-01-31,GMV,VWO,0.0005666521298489031
2018-01-31,GMV,IEF,4.968816673571657e-19
2018-01-31,GMV,SHY,0.012771687200260465
2018-01-31,GMV,TIP,0.0014317251708001182
2018-01-31,GMV,LQD,0.001599130830307823
2018-01-31,GMV,VNQ,0.0
2018-01-31,GMV,GLD,0.0
2018-01-31,GMV,DBC,1.505802362204468e-20
2018-01-31,CtR-only,SPY,0.0025955624123904877
2018-01-31,CtR-only,VEA,0.0025986439231642194
2018-01-31,CtR-only,VWO,0.002595391758804389
2018-01-31,CtR-only,IEF,0.002596583805976689
2018-01-31,CtR-only,SHY,0.0025685975771937365
2018-01-31,CtR-only,TIP,0.0026037553373613243
2018-01-31,CtR-only,LQD,0.002597653211309128
2018-01-31,CtR-only,VNQ,0.0025948377091490516
2018-01-31,CtR-only,GLD,0.002596357668669489
2018-01-31,CtR-only,DBC,0.002594775348626196
2018-01-31,MDP,SPY,0.004025311266919125
2018-01-31,MDP,VEA,0.0014865682127648472
2018-01-31,MDP,VWO,0.0042260719834581895
2018-01-31,MDP,IEF,0.0006152987409871056
2018-01-31,MDP,SHY,0.0037803316715201564
2018-01-31,MDP,TIP,0.006509606100868119
2018-01-31,MDP,LQD,0.0004934203916569929
2018-01-31,MDP,VNQ,0.0
2018-01-31,MDP,GLD,0.0010480061949334396
2018-01-31,MDP,DBC,0.0
2018-01-31,CtB-only,SPY,0.004062361592156542
2018-01-31,CtB-only,VEA,0.001419566053921184
2018-01-31,CtB-only,VWO,0.004378784168551031
2018-01-31,CtB-only,IEF,0.0005627215997986734
2018-01-31,CtB-only,SHY,0.003842709622916631
2018-01-31,CtB-only,TIP,0.006202777404640499
2018-01-31,CtB-only,LQD,0.0005093456287118346
2018-01-31,CtB-only,VNQ,0.0
2018-01-31,CtB-only,GLD,0.0011369211310525557
2018-01-31,CtB-only,DBC,0.0
2018-01-31,Main,SPY,0.0028231086588979197
2018-01-31,Main,VEA,0.0023778373600374185
2018-01-31,Main,VWO,0.0023485420449000575
2018-01-31,Main,IEF,0.0023341847053528608
2018-01-31,Main,SHY,0.0028863796899350033
2018-01-31,Main,TIP,0.002798407553183034
2018-01-31,Main,LQD,0.002313893768021891
2018-01-31,Main,VNQ,0.002471874977438348
2018-01-31,Main,GLD,0.0025136360290648626
2018-01-31,Main,DBC,0.002423970846533982
2018-02-28,EW,SPY,0.006648327669107342
2018-02-28,EW,VEA,0.004767111842164707
2018-02-28,EW,VWO,0.0011643713439533623
2018-02-28,EW,IEF,0.0019348146192857997
2018-02-28,EW,SHY,0.00027333523587418773
2018-02-28,EW,TIP,0.006859623797472965
2018-02-28,EW,LQD,0.0014927768836563212
2018-02-28,EW,VNQ,0.007848371329089703
2018-02-28,EW,GLD,0.007881008069463657
2018-02-28,EW,DBC,0.011268705360043586
2018-02-28,GMV,SPY,0.00023374135630800687
2018-02-28,GMV,VEA,0.0
2018-02-28,GMV,VWO,0.0015478128882288624
2018-02-28,GMV,IEF,0.00023285811170340533
2018-02-28,GMV,SHY,0.014330388092285618
2018-02-28,GMV,TIP,0.001343324184135168
2018-02-28,GMV,LQD,0.0027429372066284535
2018-02-28,GMV,VNQ,3.3159670771321756e-19
2018-02-28,GMV,GLD,0.0
2018-02-28,GMV,DBC,1.7027565279349437e-19
2018-02-28,CtR-only,SPY,0.003016679487933292
2018-02-28,CtR-only,VEA,0.003019538562403301
2018-02-28,CtR-only,VWO,0.0030036119084947827
2018-02-28,CtR-only,IEF,0.0030214990559696347
2018-02-28,CtR-only,SHY,0.002998501542325179
2018-02-28,CtR-only,TIP,0.003033097866836025
2018-02-28,CtR-only,LQD,0.003007494662256421
2018-02-28,CtR-only,VNQ,0.003018913609413184
2018-02-28,CtR-only,GLD,0.0030181458910758722
2018-02-28,CtR-only,DBC,0.0030146043240375834
2018-02-28,MDP,SPY,0.004210941237321437
2018-02-28,MDP,VEA,0.0014651484182793058
2018-02-28,MDP,VWO,0.005052960169569222
2018-02-28,MDP,IEF,0.00010779264766693476
2018-02-28,MDP,SHY,0.005221178113567193
2018-02-28,MDP,TIP,0.00708274833002574
2018-02-28,MDP,LQD,0.0015135020630820577
2018-02-28,MDP,VNQ,0.0
2018-02-28,MDP,GLD,0.0007233832681490554
2018-02-28,MDP,DBC,0.0
2018-02-28,CtB-only,SPY,0.004323170336052229
2018-02-28,CtB-only,VEA,0.0014352691484975618
2018-02-28,CtB-only,VWO,0.005067892326043218
2018-02-28,CtB-only,IEF,0.0002320020101763919
2018-02-28,CtB-only,SHY,0.005337453557033523
2018-02-28,CtB-only,TIP,0.0065119247791085065
2018-02-28,CtB-only,LQD,0.001472890307704817
2018-02-28,CtB-only,VNQ,0.0
2018-02-28,CtB-only,GLD,0.0009336206783549465
2018-02-28,CtB-only,DBC,0.0
2018-02-28,Main,SPY,0.003186089734266659
2018-02-28,Main,VEA,0.002813544358435372
2018-02-28,Main,VWO,0.0028985296104705096
2018-02-28,Main,IEF,0.0027301599827630977
2018-02-28,Main,SHY,0.003585362313934962
2018-02-28,Main,TIP,0.0028769212563993967
2018-02-28,Main,LQD,0.002794990400421482
2018-02-28,Main,VNQ,0.0027463874402733055
2018-02-28,Main,GLD,0.0027748580857502453
2018-02-28,Main,DBC,0.002702428253589411
2018-03-29,EW,SPY,0.0062308452501696416
2018-03-29,EW,VEA,0.0042315789746737035
2018-03-29,EW,VWO,0.0006828829177728434
2018-03-29,EW,IEF,0.0016820820282757777
2018-03-29,EW,SHY,0.0001694522279487387
2018-03-29,EW,TIP,0.008171831377334704
2018-03-29,EW,LQD,0.001030557836390703
2018-03-29,EW,VNQ,0.00842162475945694
2018-03-29,EW,GLD,0.007482531082593453
2018-03-29,EW,DBC,0.011901901743452962
2018-03-29,GMV,SPY,0.0003052964662044108
2018-03-29,GMV,VEA,0.0
2018-03-29,GMV,VWO,0.0015787849951258636
2018-03-29,GMV,IEF,0.000273440545625366
2018-03-29,GMV,SHY,0.013350692199604917
2018-03-29,GMV,TIP,0.0011686973383306667
2018-03-29,GMV,LQD,0.003010238620530249
2018-03-29,GMV,VNQ,1.6011176579864524e-19
2018-03-29,GMV,GLD,0.0
2018-03-29,GMV,DBC,0.0
2018-03-29,CtR-only,SPY,0.0028375644404516906
2018-03-29,CtR-only,VEA,0.00283986527863412
2018-03-29,CtR-only,VWO,0.002832676653412125
2018-03-29,CtR-only,IEF,0.002842348934683728
2018-03-29,CtR-only,SHY,0.0028229611785788975
2018-03-29,CtR-only,TIP,0.0028405769325118976
2018-03-29,CtR-only,LQD,0.0028286154001100454
2018-03-29,CtR-only,VNQ,0.0028377298465844304
2018-03-29,CtR-only,GLD,0.0028373471976757838
2018-03-29,CtR-only,DBC,0.0028362241940798442
2018-03-29,MDP,SPY,0.003962149338493641
2018-03-29,MDP,VEA,0.0014398436379410946
2018-03-29,MDP,VWO,0.00483019661208666
2018-03-29,MDP,IEF,0.0
2018-03-29,MDP,SHY,0.004743119508254398
2018-03-29,MDP,TIP,0.006494615985008357
2018-03-29,MDP,LQD,0.0017395122578387696
2018-03-29,MDP,VNQ,0.0
2018-03-29,MDP,GLD,0.0013013183342461996
2018-03-29,MDP,DBC,0.0
2018-03-29,CtB-only,SPY,0.004068691538255489
2018-03-29,CtB-only,VEA,0.0014736022509820959
2018-03-29,CtB-only,VWO,0.004804010053830088
2018-03-29,CtB-only,IEF,0.0
2018-03-29,CtB-only,SHY,0.004883053711017859
2018-03-29,CtB-only,TIP,0.005923989962231889
2018-03-29,CtB-only,LQD,0.0017568910273339847
2018-03-29,CtB-only,VNQ,0.0
2018-03-29,CtB-only,GLD,0.0015436113803928236
2018-03-29,CtB-only,DBC,0.0
2018-03-29,Main,SPY,0.0029610189013215002
2018-03-29,Main,VEA,0.002740116447859751
2018-03-29,Main,VWO,0.0028129829425835593
2018-03-29,Main,IEF,0.0026243147243936197
2018-03-29,Main,SHY,0.003237385414482751
2018-03-29,Main,TIP,0.0026448770099621933
2018-03-29,Main,LQD,0.0027280169407306438
2018-03-29,Main,VNQ,0.0025975794786644918
2018-03-29,Main,GLD,0.0026870229698830127
2018-03-29,Main,DBC,0.0025934555271952806
2018-04-30,EW,SPY,0.006521738831936401
2018-04-30,EW,VEA,0.003975619764156513
2018-04-30,EW,VWO,0.0006260628458125806
2018-04-30,EW,IEF,0.0016847085620984325
2018-04-30,EW,SHY,0.0001357058762598772
2018-04-30,EW,TIP,0.008947682356985644
2018-04-30,EW,LQD,0.0010143981210991681
2018-04-30,EW,VNQ,0.008657080234695778
2018-04-30,EW,GLD,0.007979319870103427
2018-04-30,EW,DBC,0.01233135329445576
2018-04-30,GMV,SPY,0.00027995697058432384
2018-04-30,GMV,VEA,0.0
2018-04-30,GMV,VWO,0.001516825758946771
2018-04-30,GMV,IEF,0.0002928087436050555
2018-04-30,GMV,SHY,0.013423248420374312
2018-04-30,GMV,TIP,0.0009611501919651921
2018-04-30,GMV,LQD,0.002743408098890466
2018-04-30,GMV,VNQ,0.0
2018-04-30,GMV,GLD,1.1942614572640754e-19
2018-04-30,GMV,DBC,0.0
2018-04-30,CtR-only,SPY,0.00281642238089095
2018-04-30,CtR-only,VEA,0.0028168203332351403
2018-04-30,CtR-only,VWO,0.0028177625611680436
2018-04-30,CtR-only,IEF,0.002820105048843845
2018-04-30,CtR-only,SHY,0.0027756074024510675
2018-04-30,CtR-only,TIP,0.002816750989299731
2018-04-30,CtR-only,LQD,0.0028215641144555374
2018-04-30,CtR-only,VNQ,0.0028155736319137835
2018-04-30,CtR-only,GLD,0.0028163549356893477
2018-04-30,CtR-only,DBC,0.0028142124065770936
2018-04-30,MDP,SPY,0.0037694915976354553
2018-04-30,MDP,VEA,0.001903517490231733
2018-04-30,MDP,VWO,0.004766083851409666
2018-04-30,MDP,IEF,0.0
2018-04-30,MDP,SHY,0.004827357047976008
2018-04-30,MDP,TIP,0.006349938623218098
2018-04-30,MDP,LQD,0.0014845436635524802
2018-04-30,MDP,VNQ,0.0
2018-04-30,MDP,GLD,0.001180635655180415
2018-04-30,MDP,DBC,0.0
2018-04-30,CtB-only,SPY,0.003930400075836259
2018-04-30,CtB-only,VEA,0.0019045740707622843
2018-04-30,CtB-only,VWO,0.004724488716921598
2018-04-30,CtB-only,IEF,0.0
2018-04-30,CtB-only,SHY,0.004980379001443897
2018-04-30,CtB-only,TIP,0.005605821139638274
2018-04-30,CtB-only,LQD,0.00155773821217718
2018-04-30,CtB-only,VNQ,0.0
2018-04-30,CtB-only,GLD,0.0014871862391489994
2018-04-30,CtB-only,DBC,0.0
2018-04-30,Main,SPY,0.00296838314745587
2018-04-30,Main,VEA,0.0027408104166163324
2018-04-30,Main,VWO,0.0028046872032733436
2018-04-30,Main,IEF,0.002523777721618207
2018-04-30,Main,SHY,0.0033158195842856518
2018-04-30,Main,TIP,0.002540604271970692
2018-04-30,Main,LQD,0.0026945216412000827
2018-04-30,Main,VNQ,0.0024936629928423767
2018-04-30,Main,GLD,0.0025661125391881535
2018-04-30,Main,DBC,0.0024865487704919327
2018-05-31,EW,SPY,0.006013100664054993
2018-05-31,EW,VEA,0.003886647128225087
2018-05-31,EW,VWO,0.0005434579999904574
2018-05-31,EW,IEF,0.001726890423603044
2018-05-31,EW,SHY,8.077540377733664e-05
2018-05-31,EW,TIP,0.009440308690010734
2018-05-31,EW,LQD,0.0009282708307010306
2018-05-31,EW,VNQ,0.008916523710281883
2018-05-31,EW,GLD,0.00818315801543396
2018-05-31,EW,DBC,0.01258155885566822
2018-05-31,GMV,SPY,0.00041941291614236583
2018-05-31,GMV,VEA,1.3808562039017712e-19
2018-05-31,GMV,VWO,0.0010131312148381252
2018-05-31,GMV,IEF,0.0002121083281958288
2018-05-31,GMV,SHY,0.013610928482193616
2018-05-31,GMV,TIP,0.0008253608546659699
2018-05-31,GMV,LQD,0.002914494362854078
2018-05-31,GMV,VNQ,5.152447430138983e-05
2018-05-31,GMV,GLD,2.0689316422612798e-19
2018-05-31,GMV,DBC,6.66036589355239e-20
2018-05-31,CtR-only,SPY,0.0027809217081957074
2018-05-31,CtR-only,VEA,0.002783433143826853
2018-05-31,CtR-only,VWO,0.0027895216059952376
2018-05-31,CtR-only,IEF,0.0027889947321778847
2018-05-31,CtR-only,SHY,0.002748171508905623
2018-05-31,CtR-only,TIP,0.0027832537914077703
2018-05-31,CtR-only,LQD,0.0027835324114739092
2018-05-31,CtR-only,VNQ,0.0027821848691087763
2018-05-31,CtR-only,GLD,0.002782448228756591
2018-05-31,CtR-only,DBC,0.002781296429412608
2018-05-31,MDP,SPY,0.004141682877145596
2018-05-31,MDP,VEA,0.0018546950215320547
2018-05-31,MDP,VWO,0.004677171343195506
2018-05-31,MDP,IEF,0.0
2018-05-31,MDP,SHY,0.004859841661681959
2018-05-31,MDP,TIP,0.005913139463018682
2018-05-31,MDP,LQD,0.001447719270256537
2018-05-31,MDP,VNQ,0.0
2018-05-31,MDP,GLD,0.001218362666551711
2018-05-31,MDP,DBC,0.0
2018-05-31,CtB-only,SPY,0.00426728020728275
2018-05-31,CtB-only,VEA,0.0018898150528371886
2018-05-31,CtB-only,VWO,0.0045421069934639844
2018-05-31,CtB-only,IEF,0.0
2018-05-31,CtB-only,SHY,0.004957519486991608
2018-05-31,CtB-only,TIP,0.005558570326197959
2018-05-31,CtB-only,LQD,0.0014770616984298595
2018-05-31,CtB-only,VNQ,0.0
2018-05-31,CtB-only,GLD,0.0013877692996466515
2018-05-31,CtB-only,DBC,0.0
2018-05-31,Main,SPY,0.0030083335521627246
2018-05-31,Main,VEA,0.0026903164698850904
2018-05-31,Main,VWO,0.0027771236233071262
2018-05-31,Main,IEF,0.0024587732499031048
2018-05-31,Main,SHY,0.003315911779235451
2018-05-31,Main,TIP,0.0024685928314656757
2018-05-31,Main,LQD,0.0026457411141226576
2018-05-31,Main,VNQ,0.002443841411183949
2018-05-31,Main,GLD,0.0024869907198480706
2018-05-31,Main,DBC,0.002428339329201558
2018-06-29,EW,SPY,0.0065202106193879995
2018-06-29,EW,VEA,0.003924812892805453
2018-06-29,EW,VWO,0.00031551321778611966
2018-06-29,EW,IEF,0.0015964512535459213
2018-06-29,EW,SHY,2.7381754272174966e-05
2018-06-29,EW,TIP,0.009489930013971875
2018-06-29,EW,LQD,0.0006969002816210724
2018-06-29,EW,VNQ,0.009037715217978226
2018-06-29,EW,GLD,0.008179533707147498
2018-06-29,EW,DBC,0.012939563982579252
2018-06-29,GMV,SPY,0.0002536166724698015
2018-06-29,GMV,VEA,1.5209668363301217e-19
2018-06-29,GMV,VWO,0.0009055049636480109
2018-06-29,GMV,IEF,1.1291766893608434e-20
2018-06-29,GMV,SHY,0.01325344680603029
2018-06-29,GMV,TIP,0.000670638629866276
2018-06-29,GMV,LQD,0.0031876169916287282
2018-06-29,GMV,VNQ,0.0003785475753790682
2018-06-29,GMV,GLD,0.0
2018-06-29,GMV,DBC,1.4887418168783183e-19
2018-06-29,CtR-only,SPY,0.0027129116541883603
2018-06-29,CtR-only,VEA,0.0027128569241118344
2018-06-29,CtR-only,VWO,0.002712674624375183
2018-06-29,CtR-only,IEF,0.0027160419548211347
