date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2022-07-29,MDP,1,300,2,0.06058824984331896,0,8,success,-1.916041996243892
2022-07-29,CtB-only,1,300,2,0.006593140984335549,0,8,success,0.0011296517897748603
2022-07-29,Main,1,300,2,3.6340128558817866e-10,0,10,success,0.0035512387763281038
2022-08-31,EW,1,0,0,0.0,0,10,success,0.0
2022-08-31,GMV,1,0,33,0.00047252399190892677,0,4,success,0.001355154253551457
2022-08-31,CtR-only,1,238,2,2.6908852043726997e-11,0,10,success,0.00017704461488183347
2022-08-31,MDP,1,300,1,0.08012150134552627,0,8,success,-1.8971536148468622
2022-08-31,CtB-only,1,300,2,0.008806021574368796,0,8,success,0.0012462115851251702
2022-08-31,Main,1,276,2,3.694472317014042e-10,0,10,success,0.0045776056546349315
2022-09-30,EW,1,0,0,0.0,0,10,success,0.0
2022-09-30,GMV,1,0,33,0.000759417375213323,0,4,success,0.001406394010459085
2022-09-30,CtR-only,1,282,2,2.4573665946251076e-11,0,10,success,0.0001851311221920925
2022-09-30,MDP,1,300,1,0.09314037593110475,0,7,success,-1.799573176253329
2022-09-30,CtB-only,1,300,2,0.009155211521842404,0,8,success,0.0012622441601591217
2022-09-30,Main,1,300,2,2.8679798203796425e-10,0,10,success,0.004789682221920163
2022-10-31,EW,1,0,0,0.0,0,10,success,0.0
2022-10-31,GMV,1,0,27,0.0009508584350255255,0,4,success,0.0014067818554750317
2022-10-31,CtR-only,1,298,2,2.4681553482082997e-11,0,10,success,0.00019271802461600908
2022-10-31,MDP,1,300,2,0.11620169940566692,0,8,success,-1.752721856707579
2022-10-31,CtB-only,1,300,2,0.011022499039354131,0,8,success,0.0018280224057650321
2022-10-31,Main,1,300,2,2.744321093853693e-10,0,10,success,0.0055653166683323416
2022-11-30,EW,1,0,0,0.0,0,10,success,0.0
2022-11-30,GMV,1,0,24,0.0012071129508473251,0,4,success,0.001562362737896514
2022-11-30,CtR-only,1,265,2,2.175240813023429e-11,0,10,success,0.00018705121722087273
2022-11-30,MDP,1,300,2,0.11202767533075876,0,7,success,-1.6887466735110785
2022-11-30,CtB-only,1,300,2,0.011042610241008496,0,8,success,0.0019028578077961648
2022-11-30,Main,1,300,2,2.0611022644021527e-10,0,10,success,0.0070010316833307345
2022-12-30,EW,1,0,0,0.0,0,10,success,0.0
2022-12-30,GMV,1,0,23,0.0013401346332396736,0,4,success,0.001604463623246269
2022-12-30,CtR-only,1,147,2,2.020811139204304e-11,0,10,success,0.0001837662520313663
2022-12-30,MDP,1,300,2,0.11389875711470207,0,8,success,-1.676299674311114
2022-12-30,CtB-only,1,300,2,0.010273497524271155,0,8,success,0.0016904434107858103
2022-12-30,Main,1,300,2,2.0789124736676867e-10,0,10,success,0.006801219210550781
2023-01-31,EW,1,0,0,0.0,0,10,success,0.0
2023-01-31,GMV,1,0,25,0.0014427320130651056,0,4,success,0.001607870938639797
2023-01-31,CtR-only,1,118,2,3.219981915460064e-11,0,10,success,0.0001831415580001071
2023-01-31,MDP,1,300,2,0.12158485313922301,0,7,success,-1.6680089805768383
2023-01-31,CtB-only,1,300,2,0.010852737279991703,0,7,success,0.00195655776635497
2023-01-31,Main,1,300,2,2.0461286764716485e-10,0,10,success,0.007414277865065584
2023-02-28,EW,1,0,0,0.0,0,10,success,0.0
2023-02-28,GMV,1,0,24,0.001399779093981511,0,4,success,0.0016154937646784403
2023-02-28,CtR-only,1,202,2,1.9757602739160146e-11,0,10,success,0.00018343270446940957
2023-02-28,MDP,1,300,2,0.11521026304924234,0,7,success,-1.6473642849956562
2023-02-28,CtB-only,1,276,2,0.01094603000527515,0,7,success,0.0017669617711055154
2023-02-28,Main,1,300,2,1.65238443807648e-10,0,10,success,0.007417111486352432
2023-03-31,EW,1,0,0,0.0,0,10,success,0.0
2023-03-31,GMV,1,0,23,0.0016510424550215403,0,3,success,0.0016091160063090677
2023-03-31,CtR-only,1,279,2,2.8196021837128148e-11,0,10,success,0.00018288135870016552
2023-03-31,MDP,1,215,2,0.1585465477407476,0,6,success,-1.6021776825563985
2023-03-31,CtB-only,1,262,2,0.01357646986585787,0,6,success,0.0030354730918788586
2023-03-31,Main,1,178,1,4.875468027327411e-11,0,10,success,0.008093860718096823
2023-04-28,EW,1,0,0,0.0,0,10,success,0.0
2023-04-28,GMV,1,0,27,0.0017181729368800712,0,3,success,0.0016299762302188863
2023-04-28,CtR-only,1,273,2,2.8296224051761567e-11,0,10,success,0.00017792675616819324
2023-04-28,MDP,1,212,2,0.17984206293967556,0,6,success,-1.6074392300104121
2023-04-28,CtB-only,1,251,2,0.017438562775257904,0,6,success,0.0033292738019167034
2023-04-28,Main,1,107,2,3.179918949347218e-11,0,10,success,0.00898739718406113
2023-05-31,EW,1,0,0,0.0,0,10,success,0.0
2023-05-31,GMV,1,0,30,0.0015919264929960138,0,3,success,0.0016574096232737584
2023-05-31,CtR-only,1,290,2,2.6608971558626817e-11,0,10,success,0.000178282701116695
2023-05-31,MDP,1,205,2,0.1762415069269823,0,6,success,-1.6181656662529669
2023-05-31,CtB-only,1,222,2,0.01702087549806258,0,6,success,0.0033078293232454282
2023-05-31,Main,1,194,1,3.465962379907726e-07,0,10,success,0.009609995772480869
2023-06-30,EW,1,0,0,0.0,0,10,success,0.0
2023-06-30,GMV,1,0,32,0.0015432342127667314,0,4,success,0.0016025728112184837
2023-06-30,CtR-only,1,249,2,2.6421966068973737e-11,0,10,success,0.00017140624438687782
2023-06-30,MDP,1,186,2,0.16148754812745214,0,6,success,-1.6276035659812584
2023-06-30,CtB-only,1,229,2,0.014690366239476641,0,6,success,0.002919611742406028
2023-06-30,Main,1,96,2,8.556117990179087e-11,0,10,success,0.008736569704148272
2023-07-31,EW,1,0,0,0.0,0,10,success,0.0
2023-07-31,GMV,1,0,31,0.001520340232491884,0,4,success,0.0015570099236857434
2023-07-31,CtR-only,1,243,2,2.5367551040280817e-11,0,10,success,0.00017022616884642403
2023-07-31,MDP,1,181,2,0.12965521679264738,0,7,success,-1.5908643239546814
2023-07-31,CtB-only,1,300,2,0.012805171990121846,0,8,success,0.0026751230046474176
2023-07-31,Main,1,118,2,5.389677941994701e-11,0,10,success,0.007753051260842372
2023-08-31,EW,1,0,0,0.0,0,10,success,0.0
2023-08-31,GMV,1,0,32,0.0012982621808156614,0,3,success,0.0015329648832246986
2023-08-31,CtR-only,1,193,2,1.71901960792456e-11,0,10,success,0.00016819445403700166
2023-08-31,MDP,1,176,2,0.13493405832413152,0,8,success,-1.5793205330584756
2023-08-31,CtB-only,1,300,2,0.01275685879398255,0,8,success,0.0026327867543206574
2023-08-31,Main,1,110,2,6.030441253475161e-11,0,10,success,0.006842531976292402
