date,strategy,period_return
2024-07-31,MDP,0.011542026751341972
2024-07-31,CtB-only,0.01148598515034105
2024-07-31,Main,0.014450225832862262
2024-08-30,EW,0.01674606826346614
2024-08-30,GMV,0.00794065259528498
2024-08-30,CtR-only,0.011932221011310418
2024-08-30,MDP,0.008344107853913263
2024-08-30,CtB-only,0.008236636623430549
2024-08-30,Main,0.009655620006684185
2024-09-30,EW,0.02539252157551175
2024-09-30,GMV,0.008056023729861472
2024-09-30,CtR-only,0.0185556352387799
2024-09-30,MDP,0.01274930355100512
2024-09-30,CtB-only,0.01245713512566482
2024-09-30,Main,0.016753035425443707
2024-10-31,EW,-0.015192947273025559
2024-10-31,GMV,-0.005376247469000672
2024-10-31,CtR-only,-0.012551973726847576
2024-10-31,MDP,-0.00728480562502376
2024-10-31,CtB-only,-0.0067076898224618375
2024-10-31,Main,-0.009290859015337105
2024-11-29,EW,0.007038963505916707
2024-11-29,GMV,0.003446660292356407
2024-11-29,CtR-only,0.005685199475397917
2024-11-29,MDP,0.007384750660171857
2024-11-29,CtB-only,0.006761594515955371
2024-11-29,Main,0.004128981866204473
2024-12-31,EW,-0.021427334009416432
2024-12-31,GMV,0.0018424537251497952
2024-12-31,CtR-only,-0.013377381328419813
2024-12-31,MDP,-0.006688916080957674
2024-12-31,CtB-only,-0.006330548871403274
2024-12-31,Main,-0.009396318580719543
2025-01-31,EW,0.02230505057869525
2025-01-31,GMV,0.005996081667684061
2025-01-31,CtR-only,0.015266822235665556
2025-01-31,MDP,0.012076540394065916
2025-01-31,CtB-only,0.012007344609133552
2025-01-31,Main,0.014161393268597333
2025-02-28,EW,0.015670565737078812
2025-02-28,GMV,0.00772851696107546
2025-02-28,CtR-only,0.013903704710481746
2025-02-28,MDP,0.009470742395208953
2025-02-28,CtB-only,0.009467186299100705
2025-02-28,Main,0.011667269937766234
2025-03-31,EW,0.00574694988573321
2025-03-31,GMV,0.004171212378652589
2025-03-31,CtR-only,0.004875551101134468
2025-03-31,MDP,0.001583940512576154
2025-03-31,CtB-only,0.001912988528040227
2025-03-31,Main,0.005396048651753471
2025-04-30,EW,0.000445162953292666
2025-04-30,GMV,0.0034903291520109736
2025-04-30,CtR-only,0.0010492451886190413
2025-04-30,MDP,-0.004494493080542616
2025-04-30,CtB-only,-0.004749470675265766
2025-04-30,Main,-0.0009640440071276846
2025-05-30,EW,0.01630842876101024
2025-05-30,GMV,-0.0021958873615325336
2025-05-30,CtR-only,0.005279875351590135
2025-05-30,MDP,0.0023823454161255864
2025-05-30,CtB-only,0.0022223613563723266
2025-05-30,Main,0.003097455159327467
2025-06-30,EW,0.0251872109853446
2025-06-30,GMV,0.011265188385719105
2025-06-30,CtR-only,0.017766435966263483
2025-06-30,MDP,0.016511073395524933
2025-06-30,CtB-only,0.01632942776953583
2025-06-30,Main,0.016424183790358038
2025-07-31,EW,0.0034261137249642637
2025-07-31,GMV,0.001068522200113886
2025-07-31,CtR-only,0.001419314258054305
2025-07-31,MDP,0.002791081309067023
2025-07-31,CtB-only,0.0028412187013164836
2025-07-31,Main,0.001645173930275412
2025-08-29,EW,0.02265185721812868
2025-08-29,GMV,0.01100384299285495
2025-08-29,CtR-only,0.016953811786167616
2025-08-29,MDP,0.014058093417072648
2025-08-29,CtB-only,0.013866110349607164
2025-08-29,Main,0.015480246383929641
2025-09-30,EW,0.02802541002549308
2025-09-30,GMV,0.006103590788022251
2025-09-30,CtR-only,0.018050377424185804
2025-09-30,MDP,0.016238414790696654
2025-09-30,CtB-only,0.0158537033924806
2025-09-30,Main,0.016751299468263703
2025-10-31,EW,0.01043522210700476
2025-10-31,GMV,0.005439737762873653
2025-10-31,CtR-only,0.008133830890818983
2025-10-31,MDP,0.009946387711846194
2025-10-31,CtB-only,0.009825576719474816
2025-10-31,Main,0.008379237453124855
2025-11-28,EW,0.0112619471945401
2025-11-28,GMV,0.004773475227371371
2025-11-28,CtR-only,0.008730136486925444
2025-11-28,MDP,0.00816835878725719
2025-11-28,CtB-only,0.00816868263565862
2025-11-28,Main,0.008601832001672305
2025-12-30,EW,0.007778547093145738
2025-12-30,GMV,0.0015622643857033935
2025-12-30,CtR-only,0.004033647334471757
2025-12-30,MDP,0.0037321415550155557
2025-12-30,CtB-only,0.003699771561153975
2025-12-30,Main,0.003953186619091831
