date,strategy,converged,iterations_pg,iterations_newton,kkt_residual,fallback_used,active_free_dim,status,objective_value
2017-06-30,CtB-only,1,250,2,0.05637110152538487,0,7,success,0.003430816075650779
2017-06-30,Main,1,250,2,3.1852432398090825e-10,0,10,success,0.003529219186086155
2017-07-31,EW,1,0,0,0.0,0,10,success,0.0
2017-07-31,GMV,1,0,41,0.000646296089761731,0,5,success,0.00042916838884462984
2017-07-31,CtR-only,1,250,2,1.0976410834288027e-10,0,10,success,0.00018028599129741725
2017-07-31,MDP,1,250,1,0.40650068698897396,0,8,success,-1.9235513894919187
2017-07-31,CtB-only,1,250,2,0.06722288087219598,0,7,success,0.0046184215187026045
2017-07-31,Main,1,250,1,2.969728035558116e-10,0,10,success,0.004881462799968877
2017-08-31,EW,1,0,0,0.0,0,10,success,0.0
2017-08-31,GMV,1,0,41,0.0006639778094191113,0,5,success,0.0004258649899835249
2017-08-31,CtR-only,1,222,2,6.099510904133592e-11,0,10,success,0.00017855152391726563
2017-08-31,MDP,1,250,1,0.42078896961355383,0,7,success,-1.9485201547217859
2017-08-31,CtB-only,1,250,2,0.07151295038708338,0,7,success,0.005198991760826405
2017-08-31,Main,1,250,2,3.4442837962760105e-10,0,10,success,0.004966231934734753
2017-09-29,EW,1,0,0,0.0,0,10,success,0.0
2017-09-29,GMV,1,0,43,0.000553473348331557,0,5,success,0.00038848673980109615
2017-09-29,CtR-only,1,250,2,1.9847107865376734e-10,0,10,success,0.00018291951285591496
2017-09-29,MDP,1,250,1,0.36063086055701987,0,7,success,-2.058784846863023
2017-09-29,CtB-only,1,250,2,0.06847594921556889,0,7,success,0.003842907453833583
2017-09-29,Main,1,250,2,4.0212250898682645e-10,0,10,success,0.003552371778205935
2017-10-31,EW,1,0,0,0.0,0,10,success,0.0
2017-10-31,GMV,1,0,47,0.0004906414083559926,0,5,success,0.00037993109738035185
2017-10-31,CtR-only,1,243,2,6.0297775522626e-11,0,10,success,0.0001652274405933744
2017-10-31,MDP,1,250,2,0.4083477206377581,0,8,success,-2.076244432220639
2017-10-31,CtB-only,1,250,2,0.08179325705166918,0,8,success,0.004355404331576225
2017-10-31,Main,1,250,1,4.362234806953688e-10,0,10,success,0.003943186018285536
2017-11-30,EW,1,0,0,0.0,0,10,success,0.0
2017-11-30,GMV,1,0,43,0.0004386272659304063,0,5,success,0.00031353363011527025
2017-11-30,CtR-only,1,243,2,3.7741549341488365e-11,0,10,success,0.00016685073879592742
2017-11-30,MDP,1,250,1,0.28036668353671207,0,8,success,-2.030264504465589
2017-11-30,CtB-only,1,250,2,0.05448989641028564,0,8,success,0.002152155157373215
2017-11-30,Main,1,250,2,2.819965373401387e-10,0,10,success,0.002562427546375457
2017-12-29,EW,1,0,0,0.0,0,10,success,0.0
