date,strategy,period_return,wealth,drawdown
2023-12-29,Main,0.022691905905779,0.9976758879714374,-0.032251484429346444
2024-01-31,Main,-0.0019952643373968,0.9956852608518872,-0.03418239853003324
2024-02-29,Main,0.0017765903707172,0.9974541856985818,-0.032466536279392555
2024-03-28,Main,0.0210780022857419,1.0184785273046595,-0.012072863719557625
2024-04-30,Main,-0.0102996962347372,1.007988507851819,-0.02224821312530001
2024-05-31,Main,0.0161325006557644,1.0242498831157414,-0.006474631782369178
2024-06-28,Main,0.0069654337504838,1.031384227820525,0.0
2024-07-31,Main,0.0152014971771814,1.047062812248328,0.0
2024-08-30,Main,0.0101496619548875,1.0576901458381824,0.0
2024-09-30,Main,0.0173583847235236,1.0760499383079214,0.0
2024-10-31,Main,-0.0102162594100237,1.0650567330000278,-0.010216259410023576
2024-11-29,Main,0.0043049459192361,1.0696417446365112,-0.00595529393504457
2024-12-31,Main,-0.010420461256244,1.0584955842784651,-0.016313698281568922
2025-01-31,Main,0.0145818464963221,1.0739304044054485,-0.0019697356293759682
2025-02-28,Main,0.0122638832167407,1.087100961467984,0.0
2025-03-31,Main,0.005521301487108,1.0931031736231738,0.0
2025-04-30,Main,-0.0002539061120949,1.0928256280462405,-0.00025390611209485936
2025-05-30,Main,0.0036177575585907,1.0967792062223265,0.0
2025-06-30,Main,0.0167097867824859,1.1151061529057658,0.0
2025-07-31,Main,0.0014973147204184,1.1167758177633407,0.0
2025-08-29,Main,0.0159295210223273,1.1345655216296286,0.0
2025-09-30,Main,0.0171029292309576,1.1539699154539447,0.0
2025-10-31,Main,0.0082562983271394,1.1634974353364764,0.0
2025-11-28,Main,0.0086899082472147,1.1736081212954201,0.0
2025-12-30,Main,0.0039580162855796,1.178253281352396,0.0
2021-02-26,EW,0.0072911613737711,1.0072911613737712,0.0
2021-03-31,EW,0.0061272215733625,1.013463057508398,0.0
2021-04-30,EW,0.0328287555768564,1.046733788509515,0.0
2021-05-28,EW,0.0205392283065828,1.0682328927679263,0.0
2021-06-30,EW,0.0053295238938235,1.0739260654941012,0.0
2021-07-30,EW,0.0117232674493572,1.0865159879807245,0.0
2021-08-31,EW,0.0062658041666032,1.0933238843852953,0.0
2021-09-30,EW,-0.019081552148897,1.0724615676697626,-0.019081552148896952
2021-10-29,EW,0.0267721564114316,1.1011736765046667,0.0
2021-11-30,EW,-0.017985838756018,1.0813681443166823,-0.017985838756018002
2021-12-31,EW,0.0297134236602114,1.1134992941214206,0.0
2022-01-31,EW,-0.0197142049392837,1.0915475408373632,-0.019714204939283664
2022-02-28,EW,-0.0021886038176753,1.0891585757223126,-0.02185966217276636
2022-03-31,EW,0.0091320079321806,1.0991047804752112,-0.012927276848942237
2022-04-29,EW,-0.035578780358801,1.0599999728993754,-0.0480461204640974
2022-05-31,EW,0.0018362420982627,1.0619463894737706,-0.046298102674888986
2022-06-30,EW,-0.0455447060521222,1.0135803533220753,-0.08973417524991234
2022-07-29,EW,0.0300023989881073,1.043990195488951,-0.062424016790521675
2022-08-31,EW,-0.0322692724793863,1.0103013914049104,-0.0926789116628367
2022-09-30,EW,-0.0705803769388284,0.9389939383777289,-0.15671797608222182
2022-10-31,EW,0.0174704955742392,0.9553986278223946,-0.1419854212155307
2022-11-30,EW,0.061276075033716,1.013941705827949,-0.08940965550591129
2022-12-30,EW,-0.019060335214773,0.9946156370266295,-0.10676581271530428
2023-01-31,EW,0.052314844256023,1.0466487991722828,-0.06003640532334997
2023-02-28,EW,-0.0378027142794569,1.0070826336662364,-0.09556958052600262
2023-03-31,EW,0.027424941327008,1.0347018158059818,-0.07076562933756692
2023-04-28,EW,0.0062516545209778,1.0411704140906293,-0.06495637708316704
2023-05-31,EW,-0.0224211968115561,1.017826127321934,-0.08592117417997569
2023-06-30,EW,0.0207022047326859,1.0388973721920296,-0.06699772718603636
2023-07-31,EW,0.0249205279508988,1.0647872431938563,-0.04374681796812396
2023-08-31,EW,-0.0188033188716686,1.0447657091295972,-0.06172755147191711
2023-09-29,EW,-0.0302717005389938,1.0131388744494165,-0.09013065405774767
2023-10-31,EW,-0.0114131100631167,1.001575808966103,-0.10051509304604267
2023-11-30,EW,0.0528181660982352,1.054477206404049,-0.05300594982769291
2023-12-29,EW,0.0329550531721252,1.0892275588098885,-0.02179771055057833
2024-01-31,EW,-0.0078391808703387,1.0806889069674204,-0.02946601522535175
2024-02-29,EW,0.0068867220422028,1.0881313110837971,-0.022782217439697106
2024-03-28,EW,0.0271564627953773,1.1176811085497294,0.0
2024-04-30,EW,-0.0183828708350763,1.0971349210964547,-0.018382870835076393
2024-05-31,EW,0.0244355686269783,1.1239440367539617,0.0
2024-06-28,EW,0.008693086964387,1.1337145800085682,0.0
2024-07-31,EW,0.0243690994206784,1.1613421833234696,0.0
2024-08-30,EW,0.0167460682634661,1.1807900988026472,0.0
2024-09-30,EW,0.0253925215755117,1.210773336862644,0.0
2024-10-31,EW,-0.0151929472730255,1.1923781213961049,-0.015192947273025448
2024-11-29,EW,0.0070389635059167,1.2007712274778657,-0.008260926368510835
2024-12-31,EW,-0.0214273340094164,1.1750419013178004,-0.029511250749402085
2025-01-31,EW,0.0223050505786952,1.20125127035878,-0.00786445011131276
2025-02-28,EW,0.0156705657370788,1.2200755573576867,0.0
2025-03-31,EW,0.0057469498857332,1.2270872704426294,0.0
2025-04-30,EW,0.0004451629532926,1.2276335242358876,0.0
2025-05-30,EW,0.0163084287610102,1.2476542981105165,0.0
2025-06-30,EW,0.0251872109853446,1.279079230153798,0.0
2025-07-31,EW,0.0034261137249642,1.2834615010595447,0.0
2025-08-29,EW,0.0226518572181286,1.3125342877265107,0.0
2025-09-30,EW,0.028025410025493,1.3493185993125647,0.0
2025-10-31,EW,0.0104352221070047,1.3633990385895038,0.0
2025-11-28,EW,0.0112619471945401,1.3787535665671855,0.0
2025-12-30,EW,0.0077785470931457,1.389478266114571,0.0
2021-02-26,GMV,-0.0040943962262117,0.9959056037737883,0.0
2021-03-31,GMV,-0.0054851083155611,0.9904429536650148,-0.005485108315561149
2021-04-30,GMV,0.0063115930104051,0.996694226488572,0.0
2021-05-28,GMV,0.0037111153235565,1.000393073705394,0.0
2021-06-30,GMV,0.0018723002371452,1.0022661098945311,0.0
2021-07-30,GMV,0.0065590299931155,1.0088400033704126,0.0
2021-08-31,GMV,-0.0006917111961859,1.008142177444921,-0.0006917111961858291
2021-09-30,GMV,-0.0033520445414466,1.0047628399620148,-0.004041437090892996
2021-10-29,GMV,-0.0003772055987136,1.0043838377934018,-0.004417118236909046
2021-11-30,GMV,-0.0003915593137671,1.0039905619471166,-0.00480694798689052
2021-12-31,GMV,0.0008049866109383,1.0047987609069924,-0.004005830904721175
2022-01-31,GMV,-0.0094620097960166,0.995291345188265,-0.013429937489476185
2022-02-28,GMV,-0.0027191902311912,0.99258495868524,-0.016112609165840452
2022-03-31,GMV,-0.0143278764649368,0.9783633240162435,-0.030209626157121194
2022-04-29,GMV,-0.0146564168577406,0.9640240233011367,-0.044423278140786615
2022-05-31,GMV,0.0049549143477456,0.968800679765763,-0.03968847733127456
2022-06-30,GMV,-0.013789824070592,0.9554410888323231,-0.05293100428183861
2022-07-29,GMV,0.0087723029731991,0.9638225075366036,-0.04462302811487551
2022-08-31,GMV,-0.0101887878411429,0.9540023244907948,-0.05435716138972657
2022-09-30,GMV,-0.0198385033129879,0.9350763462157861,-0.07311729997639971
2022-10-31,GMV,-0.0008541675265707,0.9342776343659841,-0.0739090130797001
